game,console,loose_val,complete_val,new_val,date(D/M/Y) 
NES Four Score,nes,33.60,36.44,36.44,22/03/2023
Fantastic Adventures of Dizzy,nes,12.99,42.68,42.68,22/03/2023
Isolated Warrior,nes,52.49,121.56,121.56,22/03/2023
Captain Comic,nes,15.23,49.99,49.99,22/03/2023
Thundercade,nes,10.35,29.00,29.00,22/03/2023
ORB 3D,nes,7.66,37.45,37.45,22/03/2023
Super Sprint,nes,9.99,29.10,29.10,22/03/2023
Short Order/Eggsplode,nes,14.36,31.15,31.15,22/03/2023
American Gladiators,nes,8.51,32.50,32.50,22/03/2023
Where's Waldo,nes,11.00,43.49,43.49,22/03/2023
Archon,nes,9.38,47.72,47.72,22/03/2023
Nintendo NES Player's Guide Console,nes,43.27,152.50,152.50,22/03/2023
Shooting Range,nes,12.20,45.00,45.00,22/03/2023
The Rocketeer,nes,10.76,69.89,69.89,22/03/2023
Ring King,nes,11.79,45.00,45.00,22/03/2023
Hunt for Red October,nes,7.72,33.52,33.52,22/03/2023
Kung Fu [5 Screw],nes,9.89,93.03,93.03,22/03/2023
3D WorldRunner,nes,7.65,82.25,82.25,22/03/2023
Classic Concentration,nes,14.50,28.99,28.99,22/03/2023
WCW World Championship Wrestling,nes,11.10,83.91,83.91,22/03/2023
Town &amp; Country II: Thrilla's Surfari,nes,19.20,126.31,126.31,22/03/2023
Sesame Street 123,nes,6.64,20.09,20.09,22/03/2023
Wizardry: Knight of Diamonds Second Scenario,nes,36.49,121.96,121.96,22/03/2023
Tag Team Wrestling,nes,6.90,34.47,34.47,22/03/2023
Defender of the Crown,nes,8.62,35.54,35.54,22/03/2023
Barker Bill's Trick Shooting,nes,9.00,44.99,44.99,22/03/2023
Sesame Street Big Bird's Hide and Speak,nes,7.92,20.28,20.28,22/03/2023
Mappy-Land,nes,13.90,57.50,57.50,22/03/2023
BurgerTime [5 Screw],nes,15.01,62.00,62.00,22/03/2023
Kid Kool,nes,15.93,82.47,82.47,22/03/2023
Tecmo World Wrestling,nes,9.98,40.37,40.37,22/03/2023
Might and Magic,nes,107.98,233.75,233.75,22/03/2023
Circus Caper,nes,11.90,50.99,50.99,22/03/2023
Defender II,nes,8.13,29.99,29.99,22/03/2023
Impossible Mission II,nes,27.34,45.52,45.52,22/03/2023
Pipe Dream,nes,11.01,30.58,30.58,22/03/2023
Zanac,nes,16.00,105.14,105.14,22/03/2023
Xevious,nes,4.35,31.50,31.50,22/03/2023
WWF Wrestlemania Challenge,nes,9.95,60.32,60.32,22/03/2023
World Class Track Meet,nes,4.87,16.70,16.70,22/03/2023
Motor City Patrol,nes,67.88,182.63,182.63,22/03/2023
Advanced Dungeons &amp; Dragons Heroes of the Lance,nes,18.35,54.62,54.62,22/03/2023
Top Players Tennis,nes,9.10,23.96,23.96,22/03/2023
Magic Johnson's Fast Break,nes,2.74,28.50,28.50,22/03/2023
Mechanized Attack,nes,21.27,75.59,75.59,22/03/2023
Road Runner,nes,15.05,26.63,26.63,22/03/2023
Formula One Built To Win,nes,32.09,90.00,90.00,22/03/2023
Goal,nes,5.90,27.82,27.82,22/03/2023
Advanced Dungeons &amp; Dragons Dragon Strike,nes,97.24,184.50,184.50,22/03/2023
Bigfoot,nes,10.48,46.75,46.75,22/03/2023
Hook,nes,15.03,57.53,57.53,22/03/2023
Muppet Adventure,nes,8.22,51.14,51.14,22/03/2023
Starship Hector,nes,18.61,57.25,57.25,22/03/2023
Darkman,nes,26.31,79.25,79.25,22/03/2023
King's Quest V,nes,36.08,137.64,137.64,22/03/2023
Wizards and Warriors III Kuros Visions of Power,nes,27.10,86.65,86.65,22/03/2023
Kid Icarus [5 Screw],nes,29.00,137.87,137.87,22/03/2023
Arkanoid [Controller Bundle],nes,99.67,249.99,249.99,22/03/2023
Low G Man,nes,9.99,53.02,53.02,22/03/2023
Pinball Quest,nes,12.27,42.99,42.99,22/03/2023
Advanced Dungeons &amp; Dragons Pool of Radiance,nes,65.96,121.23,121.23,22/03/2023
Digger T Rock,nes,20.38,60.48,60.48,22/03/2023
Power Glove [Small],nes,58.79,205.76,205.76,22/03/2023
The Adventures of Rocky and Bullwinkle and Friends,nes,17.39,89.77,89.77,22/03/2023
WWF King of the Ring,nes,29.46,122.88,122.88,22/03/2023
Ninja Crusaders,nes,34.36,196.00,196.00,22/03/2023
Tennis,nes,11.00,73.10,73.10,22/03/2023
Videomation,nes,7.46,40.50,40.50,22/03/2023
Desert Commander,nes,7.44,26.50,26.50,22/03/2023
Casino Kid,nes,7.99,31.33,31.33,22/03/2023
Alien Syndrome,nes,12.99,41.45,41.45,22/03/2023
Bandit Kings of Ancient China,nes,136.99,237.85,237.85,22/03/2023
Barbie,nes,9.68,35.94,35.94,22/03/2023
Home Alone 2 Lost In New York,nes,9.50,34.50,34.50,22/03/2023
Magician,nes,36.35,82.17,82.17,22/03/2023
Metal Mech,nes,13.27,57.91,57.91,22/03/2023
Pirates,nes,30.00,89.99,89.99,22/03/2023
Athena,nes,10.25,52.49,52.49,22/03/2023
Eliminator Boat Duel,nes,29.10,105.00,105.00,22/03/2023
Paperboy 2,nes,20.64,54.79,54.79,22/03/2023
Adventures of Rad Gravity,nes,26.83,75.67,75.67,22/03/2023
Captain Planet and the Planeteers,nes,22.54,110.00,110.00,22/03/2023
Urban Champion,nes,14.95,201.25,201.25,22/03/2023
Where in Time is Carmen Sandiego,nes,11.30,34.67,34.67,22/03/2023
Bill Elliott's NASCAR Challenge,nes,8.88,29.50,29.50,22/03/2023
Donkey Kong [5 Screw],nes,40.00,272.25,272.25,22/03/2023
Galf,nes,67.89,70.59,70.59,22/03/2023
NTF2 Test Cartridge,nes,436.34,N/A,N/A,22/03/2023
Rampart,nes,15.70,47.23,47.23,22/03/2023
Rock 'n Ball,nes,9.43,39.75,39.75,22/03/2023
Freedom Force,nes,19.69,48.34,48.34,22/03/2023
Nobunaga's Ambition 2,nes,145.89,263.60,263.60,22/03/2023
Vindicators,nes,9.95,29.27,29.27,22/03/2023
City Connection,nes,9.15,74.55,74.55,22/03/2023
Gumshoe,nes,14.99,165.00,165.00,22/03/2023
Laser Invasion,nes,14.62,59.98,59.98,22/03/2023
Romance of the Three Kingdoms,nes,20.24,57.89,57.89,22/03/2023
Super Contra 7 [Homebrew],nes,30.00,N/A,N/A,22/03/2023
World Games,nes,7.67,19.24,19.24,22/03/2023
Dogbone Controller,nes,34.94,124.18,124.18,22/03/2023
Alfred Chicken,nes,100.00,326.25,326.25,22/03/2023
Ultima Warriors of Destiny,nes,121.51,197.27,197.27,22/03/2023
Video Game Organizer,nes,37.40,145.45,145.45,22/03/2023
Baseball Stars 2,nes,29.90,58.50,58.50,22/03/2023
Cobra Command,nes,8.44,33.90,33.90,22/03/2023
Tecmo Cup Soccer,nes,123.37,220.24,220.24,22/03/2023
Arkanoid,nes,17.31,197.64,197.64,22/03/2023
Burai Fighter,nes,17.38,54.36,54.36,22/03/2023
Peter Pan and the Pirates,nes,16.50,58.00,58.00,22/03/2023
Thunder and Lightning,nes,15.00,57.55,57.55,22/03/2023
Slalom,nes,9.91,94.94,94.94,22/03/2023
Roger Clemens' MVP Baseball,nes,5.71,20.62,20.62,22/03/2023
Mega Man [First Print],nes,N/A,904.67,904.67,22/03/2023
Baseball Simulator 1.000,nes,8.87,28.19,28.19,22/03/2023
Castle of Dragon,nes,15.99,45.88,45.88,22/03/2023
EarthBound [Homebrew],nes,32.37,83.75,83.75,22/03/2023
Hogan's Alley [5 Screw],nes,13.88,64.96,64.96,22/03/2023
Image Fight,nes,24.61,90.00,90.00,22/03/2023
Bard's Tale,nes,21.84,57.00,57.00,22/03/2023
Lunar Pool,nes,5.20,30.75,30.75,22/03/2023
Pac-Mania,nes,21.40,74.90,74.90,22/03/2023
Donkey Kong 3 [5 Screw],nes,15.75,156.72,156.72,22/03/2023
Gemfire,nes,173.03,214.82,214.82,22/03/2023
Widget,nes,74.69,202.89,202.89,22/03/2023
After Burner,nes,12.35,54.13,54.13,22/03/2023
Target Renegade,nes,10.97,49.99,49.99,22/03/2023
The Goonies II [5 Screw],nes,62.29,105.50,105.50,22/03/2023
King of Kings,nes,13.98,49.92,49.92,22/03/2023
Quattro Adventure,nes,12.49,30.00,30.00,22/03/2023
Super Pitfall,nes,12.00,38.67,38.67,22/03/2023
Wild Gunman [5 Screw],nes,39.50,149.50,149.50,22/03/2023
Alien 3,nes,31.41,124.00,124.00,22/03/2023
Galf [Gold],nes,514.93,802.26,802.26,22/03/2023
Times of Lore,nes,92.80,249.75,249.75,22/03/2023
Legends of the Diamond,nes,21.35,44.99,44.99,22/03/2023
Little League Baseball,nes,12.30,58.56,58.56,22/03/2023
Amagon,nes,10.58,70.63,70.63,22/03/2023
UForce,nes,52.31,66.83,66.83,22/03/2023
Last Starfighter,nes,23.31,80.00,80.00,22/03/2023
Romance of the Three Kingdoms II,nes,92.82,221.87,221.87,22/03/2023
Skull and Crossbones,nes,15.70,45.35,45.35,22/03/2023
Dance Aerobics,nes,9.97,27.22,27.22,22/03/2023
BreakThru,nes,9.72,43.98,43.98,22/03/2023
Klax,nes,14.16,27.25,27.25,22/03/2023
King Neptune's Adventure,nes,175.46,340.03,340.03,22/03/2023
Secret Scout,nes,327.03,566.77,566.77,22/03/2023
The Last Ninja,nes,39.97,146.28,146.28,22/03/2023
Uncharted Waters,nes,87.97,149.22,149.22,22/03/2023
WWF Wrestlemania Steel Cage Challenge,nes,9.87,61.00,61.00,22/03/2023
Battle Chess,nes,9.82,25.16,25.16,22/03/2023
Space Shuttle,nes,21.76,87.56,87.56,22/03/2023
Genghis Khan,nes,22.75,62.77,62.77,22/03/2023
Mighty Bomb Jack,nes,8.95,44.99,44.99,22/03/2023
Alpha Mission,nes,7.38,74.50,74.50,22/03/2023
Elevator Action,nes,9.50,78.63,78.63,22/03/2023
Jeopardy 25th Anniversary,nes,6.44,18.00,18.00,22/03/2023
Fist of the North Star,nes,17.03,152.00,152.00,22/03/2023
Flight of the Intruder,nes,13.89,56.50,56.50,22/03/2023
Nintendo World Championship [Reproduction],nes,85.00,112.50,112.50,22/03/2023
Seicross,nes,7.29,28.03,28.03,22/03/2023
Sunday Funday,nes,232.50,240.00,240.00,22/03/2023
Bases Loaded 3,nes,7.99,32.16,32.16,22/03/2023
Spiritual Warfare,nes,24.95,88.25,88.25,22/03/2023
Indiana Jones and the Temple of Doom [Tengen],nes,15.49,80.00,80.00,22/03/2023
Lemmings,nes,32.02,140.17,140.17,22/03/2023
Tecmo NBA Basketball,nes,9.54,21.99,21.99,22/03/2023
Blue Marlin,nes,19.98,62.13,62.13,22/03/2023
Bo Jackson Baseball,nes,10.50,36.44,36.44,22/03/2023
M.U.L.E.,nes,28.00,57.00,57.00,22/03/2023
Roller Games,nes,10.99,40.48,40.48,22/03/2023
Bible Buffet,nes,99.99,129.07,129.07,22/03/2023
Exodus Journey to the Promised Land,nes,13.63,39.95,39.95,22/03/2023
Nobunaga's Ambition,nes,17.99,49.57,49.57,22/03/2023
Overlord,nes,22.70,79.95,79.95,22/03/2023
Lode Runner,nes,12.45,74.79,74.79,22/03/2023
Qix,nes,55.78,106.09,106.09,22/03/2023
Boulder Dash,nes,16.98,49.99,49.99,22/03/2023
Gun.Smoke [Bar],nes,16.29,125.00,125.00,22/03/2023
Volleyball,nes,12.37,133.96,133.96,22/03/2023
Ice Climber [5 Screw],nes,32.73,173.75,173.75,22/03/2023
Lethal Weapon,nes,45.50,152.35,152.35,22/03/2023
Athletic World [Family Fun Fitness],nes,16.38,823.50,823.50,22/03/2023
Defenders of Dynatron City,nes,46.94,153.50,153.50,22/03/2023
Incredible Crash Dummies,nes,28.00,85.76,85.76,22/03/2023
Rollerblade Racer,nes,21.92,124.99,124.99,22/03/2023
Star Force,nes,8.66,39.99,39.99,22/03/2023
The Untouchables,nes,27.79,82.92,82.92,22/03/2023
Double Dare,nes,16.65,65.19,65.19,22/03/2023
RBI Baseball 2,nes,12.72,20.00,20.00,22/03/2023
Race America,nes,79.99,200.00,200.00,22/03/2023
Challenge of the Dragon,nes,160.00,250.00,250.00,22/03/2023
Sesame Street ABC and 123,nes,13.39,45.53,45.53,22/03/2023
Maxi 15,nes,73.51,149.99,149.99,22/03/2023
Wally Bear and the No Gang,nes,49.99,134.99,134.99,22/03/2023
Linus Spacehead's Cosmic Crusade,nes,114.38,186.85,186.85,22/03/2023
Toobin',nes,19.26,75.74,75.74,22/03/2023
Shockwave,nes,26.00,61.21,61.21,22/03/2023
F-117A Stealth Fighter,nes,18.00,100.21,100.21,22/03/2023
Fantasy Zone,nes,36.26,77.00,77.00,22/03/2023
World Champ,nes,38.30,102.17,102.17,22/03/2023
Side Pocket,nes,8.93,30.35,30.35,22/03/2023
Trolls on Treasure Island,nes,31.39,99.00,99.00,22/03/2023
Quickshot Joystick,nes,9.95,13.00,13.00,22/03/2023
Soccer,nes,10.48,225.00,225.00,22/03/2023
Flying Warriors,nes,21.99,102.31,102.31,22/03/2023
Wheel of Fortune Featuring Vanna White,nes,9.15,29.91,29.91,22/03/2023
Retro USB AVS,nes,289.99,315.00,315.00,22/03/2023
Tecmo Baseball,nes,3.89,25.98,25.98,22/03/2023
Mickey's Adventure in Numberland,nes,80.86,197.69,197.69,22/03/2023
Ninja Kid,nes,14.00,76.40,76.40,22/03/2023
Master Chu and the Drunkard Hu,nes,50.62,98.71,98.71,22/03/2023
Quattro Sports,nes,7.63,18.50,18.50,22/03/2023
High Speed,nes,12.92,36.75,36.75,22/03/2023
Miracle Piano,nes,17.48,246.25,246.25,22/03/2023
Operation Secret Storm,nes,120.43,248.28,248.28,22/03/2023
Hudson Hawk,nes,17.20,49.61,49.61,22/03/2023
Aladdin Deck Enhancer,nes,34.99,38.45,38.45,22/03/2023
Gold Medal Challenge '92,nes,17.26,57.67,57.67,22/03/2023
MIG-29: Soviet Fighter,nes,14.98,38.99,38.99,22/03/2023
Jimmy Connors Tennis,nes,137.50,256.39,256.39,22/03/2023
Twin Cobra,nes,12.70,52.89,52.89,22/03/2023
Greg Norman's Golf Power,nes,18.77,50.98,50.98,22/03/2023
All-Pro Basketball,nes,7.77,31.42,31.42,22/03/2023
Winter Games,nes,3.50,29.47,29.47,22/03/2023
Tiny Toon Adventures Cartoon Workshop,nes,22.80,52.38,52.38,22/03/2023
Castelian,nes,25.00,56.00,56.00,22/03/2023
Sky Kid,nes,16.50,52.00,52.00,22/03/2023
Crystal Mines,nes,41.11,53.00,53.00,22/03/2023
Mermaids of Atlantis,nes,85.00,133.50,133.50,22/03/2023
Michael Andretti's World GP,nes,7.40,44.85,44.85,22/03/2023
Galactic Crusader,nes,77.94,93.66,93.66,22/03/2023
Krazy Kreatures,nes,21.02,68.94,68.94,22/03/2023
Racermate Challenge II,nes,147.28,N/A,N/A,22/03/2023
Joshua: The Battle of Jericho,nes,22.48,57.08,57.08,22/03/2023
Danny Sullivan's Indy Heat,nes,34.86,150.00,150.00,22/03/2023
F-15 City War,nes,9.98,49.24,49.24,22/03/2023
Quickshot Sighting Scope,nes,53.51,187.27,187.27,22/03/2023
Blackjack,nes,59.50,138.75,138.75,22/03/2023
Monster Truck Rally,nes,24.99,70.69,70.69,22/03/2023
Caltron 6-in-1,nes,345.12,388.59,388.59,22/03/2023
James Bond Jr,nes,46.13,110.00,110.00,22/03/2023
Pyramid,nes,13.84,54.45,54.45,22/03/2023
Hatris,nes,32.50,84.20,84.20,22/03/2023
Puzznic,nes,14.00,34.22,34.22,22/03/2023
Miracle Piano Keyboard,nes,35.78,135.00,135.00,22/03/2023
Battletank,nes,10.84,29.73,29.73,22/03/2023
Street Cop,nes,32.41,62.14,62.14,22/03/2023
Stanley The Search for Dr Livingston,nes,59.16,80.00,80.00,22/03/2023
Deathbots,nes,28.40,104.25,104.25,22/03/2023
Spelunker,nes,13.92,58.44,58.44,22/03/2023
Best of the Best Championship Karate,nes,69.07,223.00,223.00,22/03/2023
Rollerball,nes,6.00,39.95,39.95,22/03/2023
Shadow of the Ninja [Limited Run Collector's Edition],nes,180.00,N/A,N/A,22/03/2023
Galaxy 5000,nes,30.80,99.01,99.01,22/03/2023
Ultimate Stuntman,nes,10.99,48.42,48.42,22/03/2023
L'Empereur,nes,110.91,172.80,172.80,22/03/2023
Mickey's Safari in Letterland,nes,13.99,175.50,175.50,22/03/2023
1942 [5 Screw],nes,15.76,80.00,80.00,22/03/2023
Hollywood Squares,nes,9.81,29.00,29.00,22/03/2023
Jeopardy Jr,nes,4.59,25.95,25.95,22/03/2023
Loopz,nes,9.66,26.00,26.00,22/03/2023
Super Cars,nes,35.00,99.99,99.99,22/03/2023
3D WorldRunner [5 Screw],nes,10.07,55.00,55.00,22/03/2023
Analogue NT Mini,nes,531.40,763.30,763.30,22/03/2023
Caesar's Palace,nes,4.30,16.15,16.15,22/03/2023
Fisher-Price Firehouse Rescue,nes,44.79,158.15,158.15,22/03/2023
Joystick Test Cartridge,nes,954.07,N/A,N/A,22/03/2023
Conflict,nes,18.01,55.19,55.19,22/03/2023
Wheel of Fortune Family Edition,nes,8.03,19.99,19.99,22/03/2023
Racket Attack,nes,6.74,18.00,18.00,22/03/2023
Twin Eagle,nes,14.08,47.23,47.23,22/03/2023
Harlem Globetrotters,nes,16.48,38.83,38.83,22/03/2023
Terra Cresta,nes,48.80,159.99,159.99,22/03/2023
Firehawk,nes,12.59,42.86,42.86,22/03/2023
Star Trek The Next Generation,nes,31.35,81.54,81.54,22/03/2023
Holy Diver [Collectors Edition],nes,88.25,105.54,105.54,22/03/2023
Pesterminator,nes,108.01,189.85,189.85,22/03/2023
Bee 52,nes,19.93,57.00,57.00,22/03/2023
Chessmaster,nes,4.32,24.97,24.97,22/03/2023
Mission Cobra,nes,70.00,247.64,247.64,22/03/2023
Robodemons,nes,58.94,125.00,125.00,22/03/2023
Battleship,nes,21.32,60.00,60.00,22/03/2023
Ski or Die,nes,12.08,44.83,44.83,22/03/2023
F-15 Strike Eagle,nes,9.95,42.00,42.00,22/03/2023
Ferrari Grand Prix Challenge,nes,8.30,37.26,37.26,22/03/2023
Goal Two,nes,37.13,79.50,79.50,22/03/2023
Klash Ball,nes,24.90,47.75,47.75,22/03/2023
Family Feud,nes,11.38,25.00,25.00,22/03/2023
Megacom 76,nes,35.00,N/A,N/A,22/03/2023
Talking Super Jeopardy,nes,7.82,23.65,23.65,22/03/2023
Alpha Mission [5 Screw],nes,109.35,382.73,382.73,22/03/2023
Laserscope,nes,45.00,119.05,119.05,22/03/2023
Raid on Bungeling Bay,nes,8.63,38.37,38.37,22/03/2023
Puzzle,nes,14.43,33.56,33.56,22/03/2023
RBI Baseball 3,nes,7.49,24.15,24.15,22/03/2023
Ultimate Air Combat,nes,55.22,66.82,66.82,22/03/2023
Wrecking Crew [5 Screw],nes,22.50,195.50,195.50,22/03/2023
Championship Pool,nes,20.80,49.93,49.93,22/03/2023
Palamedes,nes,12.97,44.50,44.50,22/03/2023
Golf Grand Slam,nes,20.41,58.26,58.26,22/03/2023
Popeye [5 Screw],nes,20.96,238.07,238.07,22/03/2023
The Jungle Book,nes,37.00,115.00,115.00,22/03/2023
Dizzy the Adventurer,nes,30.54,106.95,106.95,22/03/2023
Dudes with Attitude,nes,11.68,35.00,35.00,22/03/2023
Sesame Street ABC,nes,5.23,20.99,20.99,22/03/2023
Thunderbirds,nes,19.40,46.50,46.50,22/03/2023
Nintendo Campus Challenge 1991 [Reproduction],nes,188.75,N/A,N/A,22/03/2023
Metal Fighter,nes,32.39,81.53,81.53,22/03/2023
Silent Assault,nes,35.80,89.99,89.99,22/03/2023
Tag Team Wrestling [5 Screw],nes,9.41,42.26,42.26,22/03/2023
George Foreman's KO Boxing,nes,6.49,43.51,43.51,22/03/2023
Pictionary,nes,10.69,22.99,22.99,22/03/2023
Rad Racket: Deluxe Tennis II,nes,82.58,153.68,153.68,22/03/2023
Tiles of Fate,nes,19.40,36.12,36.12,22/03/2023
Fun House,nes,15.41,45.00,45.00,22/03/2023
NES Test Station,nes,N/A,N/A,N/A,22/03/2023
California Raisins The Great Escape [Reproduction],nes,43.33,90.25,90.25,22/03/2023
Rally Bike,nes,15.18,49.97,49.97,22/03/2023
Great Waldo Search,nes,22.45,99.12,99.12,22/03/2023
Nintendo World Championship [25th Anniversary],nes,281.21,299.99,299.99,22/03/2023
Cyberball,nes,19.99,60.99,60.99,22/03/2023
Stunt Kids,nes,52.00,68.51,68.51,22/03/2023
Wheel of Fortune Junior Edition,nes,7.08,26.25,26.25,22/03/2023
Quattro Arcade,nes,32.76,67.86,67.86,22/03/2023
Ultimate Basketball,nes,5.52,34.50,34.50,22/03/2023
Venice Beach Volleyball,nes,13.99,104.31,104.31,22/03/2023
Magic Darts,nes,7.06,24.31,24.31,22/03/2023
Nigel Mansell's World Championship Racing,nes,22.49,92.47,92.47,22/03/2023
Impossible Mission II [SEI],nes,23.61,25.00,25.00,22/03/2023
P'radikus Conflict,nes,116.15,136.32,136.32,22/03/2023
Roundball 2-on-2 Challenge,nes,12.20,55.31,55.31,22/03/2023
Touchdown Fever,nes,16.11,56.39,56.39,22/03/2023
Break Time The National Pool Tour,nes,16.98,43.00,43.00,22/03/2023
Fisher Price Perfect Fit,nes,9.99,46.61,46.61,22/03/2023
Solitaire,nes,42.64,103.75,103.75,22/03/2023
Balloon Fight [5 Screw],nes,27.71,275.00,275.00,22/03/2023
Sesame Street Countdown,nes,13.90,74.94,74.94,22/03/2023
Double Strike,nes,18.75,89.99,89.99,22/03/2023
Tagin' Dragon,nes,101.41,164.75,164.75,22/03/2023
Ultimate League Soccer,nes,31.81,101.06,101.06,22/03/2023
Alfonzo's Arctic Adventure [Homebrew],nes,N/A,N/A,N/A,22/03/2023
Fisher Price I Can Remember,nes,10.99,42.86,42.86,22/03/2023
Twin Dragons [Homebrew],nes,89.95,107.10,107.10,22/03/2023
10-Yard Fight [5 Screw],nes,4.50,65.77,65.77,22/03/2023
500XJ Epyx,nes,17.49,61.24,61.24,22/03/2023
8-Bit Xmas 2022 [Homebrew],nes,N/A,N/A,N/A,22/03/2023
8Bit Music Power Final [Collector's Edition],nes,N/A,N/A,N/A,22/03/2023
8Bit Music Power Final [Homebrew],nes,247.08,N/A,N/A,22/03/2023
8Bit Music Power [Collector's Edition],nes,N/A,N/A,N/A,22/03/2023
8Bit Music Power [Homebrew],nes,81.00,N/A,N/A,22/03/2023
8BitDo NES Retro Reciever,nes,N/A,N/A,N/A,22/03/2023
A Hole New World [Soundtrack],nes,32.07,N/A,N/A,22/03/2023
Acclaim Double Player Wireless Controllers,nes,7.15,25.00,25.00,22/03/2023
Acclaim Wireless Infrared Remote Controller,nes,9.99,34.86,34.86,22/03/2023
Adventure Island 4 [Homebrew],nes,45.00,61.71,61.71,22/03/2023
Airball [Homebrew],nes,150.00,N/A,N/A,22/03/2023
Anguna Scourge of the Goblin King [Homebrew],nes,82.78,N/A,N/A,22/03/2023
Arkanoid [5 Screw],nes,19.99,39.54,39.54,22/03/2023
Armed for Battle [Homebrew],nes,N/A,115.71,115.71,22/03/2023
Athena [5 Screw],nes,18.36,64.25,64.25,22/03/2023
Athletic World [5 Screw],nes,16.55,18.13,18.13,22/03/2023
Bandai MEGA,nes,N/A,N/A,N/A,22/03/2023
Baseball [5 Screw],nes,6.19,64.00,64.00,22/03/2023
Battle Kid 2: Mountain of Torment [Homebrew],nes,82.32,163.58,163.58,22/03/2023
Battle Kid: Fortress of Peril [Homebrew],nes,73.81,75.50,75.50,22/03/2023
Bible Adventures [Blue],nes,17.55,34.95,34.95,22/03/2023
Big Nose Freaks Out [Aladdin],nes,13.28,30.50,30.50,22/03/2023
Black Box Challenge [Homebrew],nes,35.69,N/A,N/A,22/03/2023
Blade Buster [Homebrew],nes,N/A,N/A,N/A,22/03/2023
Blazing Rangers,nes,124.70,N/A,N/A,22/03/2023
Breakthru [5 Screw],nes,12.50,101.25,101.25,22/03/2023
Candelabra: Estoscerro [Homebrew],nes,58.74,68.37,68.37,22/03/2023
Carpet Shark [Homebrew],nes,N/A,N/A,N/A,22/03/2023
Castle of Deceit [Blue],nes,100.00,283.50,283.50,22/03/2023
Cheetahmen II: The Lost Levels [Homebrew],nes,50.00,131.22,131.22,22/03/2023
Commando [5 Screw],nes,8.02,43.00,43.00,22/03/2023
Covid-19 [Homebrew],nes,N/A,N/A,N/A,22/03/2023
Creeping it Reel [Homebrew],nes,N/A,N/A,N/A,22/03/2023
Creepy Brawlers [Homebrew],nes,34.00,49.99,49.99,22/03/2023
Crystal Mines [Black],nes,203.07,710.75,710.75,22/03/2023
Data East All-Star Collection [Homebrew],nes,19.98,20.42,20.42,22/03/2023
Days of Thunder [Chris Oberth],nes,N/A,N/A,N/A,22/03/2023
Dead Tomb [Homebrew],nes,59.99,66.74,66.74,22/03/2023
Donkey Kong Jr [5 Screw],nes,27.00,422.10,422.10,22/03/2023
Doodle World [Homebrew],nes,N/A,N/A,N/A,22/03/2023
Dragon Feet [Homebrew],nes,300.00,N/A,N/A,22/03/2023
Dragon Leap [Homebrew],nes,N/A,N/A,N/A,22/03/2023
Duck Hunt Test Cartridge,nes,N/A,N/A,N/A,22/03/2023
Dungeons &amp; Doomknights [Collector's Edition],nes,N/A,N/A,N/A,22/03/2023
Dungeons &amp; Doomknights [Homebrew],nes,119.99,125.00,125.00,22/03/2023
Dushlan [Homebrew],nes,35.00,N/A,N/A,22/03/2023
Elevator Action [5 Screw],nes,14.17,96.25,96.25,22/03/2023
EverDrive N8,nes,146.37,525.15,525.15,22/03/2023
EverDrive N8 Pro,nes,183.50,N/A,N/A,22/03/2023
Family Picross [Homebrew],nes,30.00,N/A,N/A,22/03/2023
Fantastic Adventures of Dizzy [Aladdin],nes,19.99,21.99,21.99,22/03/2023
Final Fantasy 7 Remake [Homebrew],nes,N/A,N/A,N/A,22/03/2023
Final Fantasy VII [Demake],nes,N/A,N/A,N/A,22/03/2023
Flea [Homebrew],nes,N/A,N/A,N/A,22/03/2023
From Below [Homebrew],nes,N/A,N/A,N/A,22/03/2023
Full Quiet [Homebrew],nes,83.00,200.00,200.00,22/03/2023
Full Quiet [Limited Edition],nes,N/A,N/A,N/A,22/03/2023
Galf [White],nes,73.41,N/A,N/A,22/03/2023
Garbage Pail Kids: Mad Mike and the Quest for Stale Gum [Blue],nes,N/A,N/A,N/A,22/03/2023
Garbage Pail Kids: Mad Mike and the Quest for Stale Gum [Pink],nes,N/A,N/A,N/A,22/03/2023
Gauntlet [Gray Cart],nes,13.18,23.75,23.75,22/03/2023
Germ Squashers [Homebrew],nes,N/A,N/A,N/A,22/03/2023
Get 'em Gary [Homebrew],nes,N/A,N/A,N/A,22/03/2023
Ghoul Grind [Homebrew],nes,90.00,N/A,N/A,22/03/2023
Gradius [5 Screw],nes,15.43,82.00,82.00,22/03/2023
Gumshoe [5 Screw],nes,16.47,130.50,130.50,22/03/2023
Happy Camper [Homebrew],nes,N/A,N/A,N/A,22/03/2023
HaraForce [Homebrew],nes,N/A,N/A,N/A,22/03/2023
Haradius Zero [Homebrew],nes,N/A,N/A,N/A,22/03/2023
Haratyler MP [Homebrew],nes,N/A,N/A,N/A,22/03/2023
Haratyler [Homebrew],nes,N/A,N/A,N/A,22/03/2023
Honey Bee Famicom Converter,nes,N/A,N/A,N/A,22/03/2023
Hot Seat,nes,N/A,N/A,N/A,22/03/2023
Ice Hockey [Black Box],nes,35.46,125.00,125.00,22/03/2023
Ikari Warriors [5 Screw],nes,11.35,48.75,48.75,22/03/2023
Impossible Mission II [AVE],nes,19.50,38.87,38.87,22/03/2023
Jay and Silent Bob Mall Brawl [Homebrew],nes,62.92,90.64,90.64,22/03/2023
Jay and Silent Bob Mall Brawl [Premium Edition],nes,134.30,N/A,N/A,22/03/2023
